add,co,medical,name,order,phone,rating,star,title
,,,,,,,,
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),(714) 582-3446,(632),4.1,"People's, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),949-474-7272,"(3,810)",4.8,"SCSA South Coast Safe Access - Santa Ana 92705, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),(714) 486-3831,"(1,608)",4.8,"Jungle Boys OC, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),714-868-6597,"(1,188)",4.6,"Eaze Dispensary, "
"Santa Ana,, ,California",,Recreational,Storefront,Order online (pickup),714-477-6892,"(5,570)",5.0,"Mr. Nice Guy OC, "
"Santa Ana,, ,California",,Recreational,Storefront,Order online (pickup),949-522-8046,(156),4.7,"LEGACY KUSH, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),(657) 229-4464,(935),4.3,"Catalyst - Santa Ana, "
,,,,,,,,
"Santa Ana,, ,California",,Recreational,Storefront,Order online (pickup),949-331-4160,"(6,978)",4.9,"Herban Kulture, "
"Santa Ana,, ,California",,Recreational,Storefront,Order online (pickup),714-844-6247,"(1,631)",4.9,"Marketplace, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),800-836-7768,"(3,906)",4.7,"The Spot, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),442-333-3336,"(5,384)",4.9,"Speedy Weedy - Santa Ana, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),(714) 576-2150,(712),4.6,"Farmacy Santa Ana, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),714-701-8186,(723),4.7,"Tropicanna Dispensary and Weed Delivery, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),(657) 444-7336,"(1,612)",4.7,"From The Earth, "
"Santa Ana,, ,California",,Recreational,Storefront,Order online (pickup),714-486-1806,"(2,347)",4.7,"Evergreen - Santa Ana 92705, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),714-540-4420,(495),4.6,"420 Central, "
"Santa Ana,, ,California",,Recreational,Storefront,Order online (pickup),(562) 732-1313,(192),4.5,"Planet 13, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),949-662-3960,(518),4.6,"Kannabis Works, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),949-750-2005,"(2,818)",4.7,"SUPER CLINIK, "
"Santa Ana,, ,California",,Recreational,Storefront,Order online (pickup),714-836-5576,(881),4.7,"ASHE Society, "
,,,,,,,,
,,,,,,,,
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),714-462-5221,"(3,737)",4.7,"WEST CLINIK, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),9496911406,(607),4.8,"Butter Modern Cannabis, "
"Santa Ana,, ,California",,Medical & recreational,Storefront,Order online (pickup),949-480-8001,"(1,387)",4.9,"JADEROOM OC, "
"Costa Mesa,, ,California",,Medical & recreational,Storefront,Order online (pickup),(949) 432-5070,(31),5.0,"420 Central Newport Mesa, "
"Corona,, ,California",,Medical & recreational,Storefront,Order online (pickup),(951) 2686185,(130),4.8,"Flwr Co Weed Dispensary Corona, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 513-5441,(528),4.5,"King's Crew, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 248-2474,(737),4.5,"Catalyst - Belmont Shore, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-320-8776,(604),4.3,"HAVEN Cannabis Dispensary - Los Alamitos, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 982-4078,"(1,055)",4.6,"Long Beach Wellness Center, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 354-6363,"(1,598)",4.9,"Culture Cannabis Club, "
,,,,,,,,
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 498-0993,"(1,017)",4.6,"The Circle - We Deliver, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),5623208777,(101),4.5,"HAVEN Cannabis Dispensary - Belmont, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-825-7635,"(1,056)",4.6,"BaM Body and Mind Dispensary - Long Beach, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 343-7082,(212),4.4,"Catalyst - Eastside (LBC), "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-485-9303,(841),4.5,"MedMen Long Beach, "
"Downtown Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-218-0021,"(1,197)",4.5,"Long Beach Green Room, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-342-4854,(97),4.5,"Calm and Collective, "
"Bellflower,, ,California",,Medical & recreational,Storefront,Order online (pickup),5628049653,(430),4.5,"GREENWOLF - BELLFLOWER, "
